ts_ms,label
3500,spider
4000,spider
6000,blood
6500,blood
7000,blood
7500,blood
8000,blood
8500,blood
9000,blood
9500,blood
10000,blood
10500,blood
11000,blood
11500,blood
12000,blood
12500,blood
12500,violence
13000,blood
13500,blood
14000,blood
14000,violence
14500,blood
14500,violence
15000,blood
15000,violence
15500,blood
35500,blood
37000,blood
38000,clown
38500,blood
44500,BUTTOCKS_COVERED
54000,blood
54500,blood
55000,BUTTOCKS_COVERED
55500,blood
55500,blood
59000,blood
59500,blood
60000,blood
60500,blood
63500,blood
70500,blood
71000,blood
71000,blood
72000,blood
72500,blood
73000,blood
74000,blood
75500,violence
76000,violence
76500,violence
77500,ARMPITS_EXPOSED
78500,ARMPITS_EXPOSED
79000,blood
79500,blood
80000,blood
80000,blood
80500,blood
81000,blood
81000,blood
82500,ARMPITS_EXPOSED
83000,blood
83500,blood
85500,BELLY_EXPOSED
86000,BELLY_EXPOSED
86500,BELLY_EXPOSED
91500,clown
94500,clown
95000,clown
95500,clown
96000,clown
96500,clown
100500,blood
107500,blood
110500,FEMALE_BREAST_COVERED
111000,item
111500,item
112000,blood
112000,item
112500,item
113000,blood
113000,item
113500,item
115000,item
115500,FEMALE_BREAST_COVERED
116000,FEMALE_BREAST_COVERED
116500,FEMALE_BREAST_COVERED
117000,FEMALE_BREAST_COVERED
117500,FEMALE_BREAST_COVERED
118000,FEMALE_BREAST_COVERED
118000,clown
118500,FEMALE_BREAST_COVERED
119000,blood
119500,blood
119500,blood
120000,blood
120000,blood
120500,blood
122000,blood
122000,blood
124500,blood
125000,ARMPITS_EXPOSED
125000,blood
125500,ARMPITS_EXPOSED
125500,blood
126500,ARMPITS_EXPOSED
127000,clown
127500,clown
128500,blood
129000,blood
129500,blood
135500,clown
139500,blood
140500,item
141500,item
143500,blood
143500,blood
143500,item
144000,blood
144000,blood
144000,item
144500,blood
144500,blood
144500,item
145000,blood
145000,blood
145000,item
145500,blood
145500,blood
145500,item
145500,spider
146000,blood
146000,blood
146000,item
146500,blood
146500,blood
146500,item
147000,clown
147500,clown
148000,clown
148500,blood
149500,clown
149500,item
150000,clown
150500,clown
151000,clown
151500,clown
152000,clown
152500,clown
153000,clown
153500,clown
154000,blood
154000,clown
154500,clown
155000,clown
155500,clown
156000,clown
156500,clown
157000,clown
157500,clown
158000,clown
158500,clown
160000,clown
160500,clown
162000,clown
163000,clown
163500,clown
164000,clown
164500,clown
165000,blood
165000,clown
165500,blood
165500,clown
166000,clown
166000,item
166500,item
167000,blood
167000,clown
167000,item
168000,clown
168500,blood
168500,clown
169000,clown
169500,clown
170000,blood
170000,item
170500,blood
170500,item
171000,blood
171000,clown
171000,item
171500,blood
171500,clown
171500,item
172000,blood
172000,clown
172000,item
172500,blood
172500,item
173000,blood
173000,item
173500,item
174000,item
174500,clown
175000,blood
175000,clown
175500,clown
175500,item
176000,item
176500,blood
176500,clown
176500,item
177000,clown
177000,item
178500,blood
179500,clown
180000,clown
180500,clown
181000,clown
181500,clown
182000,clown
182500,clown
183000,clown
183500,clown
184500,clown
185000,clown
186000,clown
186500,clown
187000,clown
188500,clown
189500,clown
190000,clown
190500,clown
191500,clown
192000,clown
192500,clown
193000,clown
193500,clown
194000,clown
195000,clown
195500,clown
196500,clown
197000,clown
198000,clown
198500,clown
199000,clown
199500,clown
200000,clown
200500,clown
201000,clown
201500,clown
202000,clown
202500,clown
203000,clown
203500,clown
204000,clown
204500,clown
205000,clown
205500,clown
206000,clown
206500,clown
207000,clown
207500,clown
208000,clown
208500,clown
209000,clown
209500,clown
210000,clown
210500,clown
211000,clown
212000,clown
212500,clown
212500,violence
213000,clown
213500,blood
213500,clown
214000,blood
214000,clown
214500,clown
215000,clown
216000,clown
216500,blood
216500,clown
216500,item
217000,blood
217000,clown
217000,item
217500,blood
217500,clown
217500,item
218000,blood
218000,clown
218000,item
218500,blood
218500,item
219000,blood
219000,clown
219000,item
219500,clown
220000,clown
220500,clown
221000,clown
221500,clown
222000,clown
222500,clown
223000,clown
223500,clown
224000,clown
224500,clown
225000,clown
225500,clown
226000,clown
226500,clown
227000,clown
227500,clown
228000,clown
228500,clown
229000,clown
231500,clown
232000,blood
232000,clown
233000,clown
233500,clown
234500,clown
235000,clown
235500,clown
236000,clown
236500,clown
237000,clown
237500,clown
238000,clown
238500,clown
239000,clown
239500,clown
240000,clown
240500,clown
241000,clown
241500,clown
242000,clown
243000,clown
243500,clown
246500,clown
247000,clown
250500,blood
250500,blood
250500,blood
250500,clown
250500,item
250500,item
251000,blood
251000,item
251000,item
251500,blood
251500,item
251500,item
252000,blood
252000,item
252000,item
252500,blood
252500,item
252500,item
253000,blood
253000,item
253000,item
253500,clown
254000,blood
254000,clown
254500,clown
255000,clown
255500,clown
256000,clown
256500,clown
257000,clown
257500,clown
258000,clown
258500,clown
259000,clown
259500,clown
260000,blood
260000,blood
260000,clown
260500,clown
261000,clown
261500,clown
262000,clown
262500,clown
263000,clown
263500,clown
264000,clown
264500,clown
265000,clown
265500,clown
266000,clown
266500,clown
267000,clown
267500,clown
268000,clown
268500,clown
269000,clown
269500,clown
270500,clown
271000,clown
272000,clown
272500,clown
273000,clown
273500,clown
274000,clown
274500,clown
275000,clown
275500,clown
276000,clown
276500,clown
277000,clown
277500,clown
278000,clown
278500,clown
279000,clown
279500,clown
280000,clown
281000,clown
282000,clown
283500,clown
284000,clown
284500,clown
285000,clown
285500,clown
286000,clown
287000,clown
287500,clown
288000,clown
288500,clown
289000,clown
289500,clown
290000,clown
290500,clown
291000,clown
291500,clown
292000,clown
292500,clown
293000,clown
293500,clown
294000,clown
294500,clown
295000,clown
295500,clown
296000,clown
296500,clown
300000,blood
302000,blood
304000,clown
308000,blood
308500,blood
309000,blood
309500,blood
310000,blood
310500,blood
311000,blood
311000,blood
311500,blood
312000,blood
312000,blood
312000,item
312500,blood
312500,item
313000,blood
313000,item
313500,blood
313500,item
314000,blood
314000,blood
314000,item
314000,spider
314500,blood
314500,item
314500,spider
315000,blood
315500,blood
316000,blood
316500,blood
317000,blood
317500,blood
318000,blood
318500,blood
319000,blood
319500,blood
320000,blood
320500,blood
321000,blood
321500,blood
322000,blood
322500,blood
326500,clown
327500,clown
328000,clown
328500,clown
329000,blood
329500,clown
330000,clown
330500,clown
331500,blood
331500,clown
332000,clown
332500,clown
333000,clown
333500,clown
334000,clown
334500,clown
335000,clown
335500,clown
336000,clown
337000,clown
337500,clown
338000,clown
338500,clown
339000,clown
339500,clown
340000,clown
340500,clown
341000,clown
341500,clown
342000,clown
342500,clown
343000,clown
345000,clown
345500,clown
346000,clown
346500,clown
347000,clown
347500,clown
348000,clown
348500,clown
352000,clown
352500,clown
353000,clown
353500,clown
354000,clown
354500,clown
355000,clown
355500,clown
357000,clown
357500,clown
358000,clown
358500,clown
359000,clown
360500,clown
361000,clown
361500,clown
362000,clown
362500,clown
363000,clown
363500,clown
365000,blood
365500,clown
366000,clown
366500,clown
367000,clown
367500,clown
368000,clown
368500,clown
369000,clown
369500,clown
370000,clown
370500,clown
371500,clown
372500,clown
375500,clown
376000,blood
376000,clown
376500,clown
377000,clown
377500,clown
378000,clown
378500,clown
379000,clown
379500,clown
380000,clown
380500,clown
381500,clown
382000,clown
382500,clown
383000,clown
383500,clown
384000,clown
385000,clown
386500,clown
387500,clown
388000,clown
388500,clown
389000,clown
389500,clown
390000,clown
390500,clown
391000,clown
392000,clown
392500,clown
393000,clown
393500,clown
394000,clown
394500,clown
395000,clown
395500,clown
396000,clown
396500,clown
397000,clown
397500,clown
398000,clown
398500,clown
399000,clown
399500,clown
400000,clown
400500,clown
401000,clown
401500,clown
402000,clown
402500,clown
403000,clown
403500,clown
404000,clown
404500,clown
405500,clown
406500,clown
408500,clown
409000,clown
409500,clown
410000,clown
410500,clown
411000,clown
411500,clown
412000,clown
412500,clown
