ts_ms,label
6000,blood
6500,blood
7000,blood
7500,blood
8000,blood
8500,blood
9000,blood
9500,blood
10000,blood
10500,blood
11000,blood
11500,blood
12000,blood
12500,blood
12500,violence
13000,blood
13500,blood
14000,blood
14000,violence
14500,blood
14500,violence
15000,blood
15000,violence
15500,blood
31000,spider
31500,spider
32000,spider
32500,spider
33000,spider
33500,spider
34000,spider
34500,spider
35000,spider
35500,blood
35500,spider
36000,spider
36500,spider
37000,blood
37000,spider
37500,spider
38000,spider
38500,blood
38500,clown
38500,spider
39000,spider
39500,spider
44500,BUTTOCKS_COVERED
49000,spider
49500,spider
54000,blood
54500,blood
55000,BUTTOCKS_COVERED
55500,blood
55500,blood
59000,blood
59500,blood
60000,blood
60500,blood
63500,blood
70500,blood
71000,blood
71000,blood
72000,blood
72500,blood
73000,blood
74000,blood
75500,violence
76000,violence
76500,violence
77500,ARMPITS_EXPOSED
78500,ARMPITS_EXPOSED
79000,blood
79500,blood
80000,blood
80000,blood
80500,blood
81000,blood
81000,blood
82500,ARMPITS_EXPOSED
83000,blood
83500,blood
84500,clown
85500,BELLY_EXPOSED
86000,BELLY_EXPOSED
86500,BELLY_EXPOSED
92000,clown
92500,clown
93000,clown
93500,clown
94000,clown
97000,clown
100000,clown
100500,blood
100500,clown
107500,blood
110000,clown
110500,FEMALE_BREAST_COVERED
110500,clown
111000,item
111500,item
112000,blood
112000,item
112500,item
113000,blood
113000,item
113500,item
115000,item
115500,FEMALE_BREAST_COVERED
116000,FEMALE_BREAST_COVERED
116500,FEMALE_BREAST_COVERED
117000,FEMALE_BREAST_COVERED
117500,FEMALE_BREAST_COVERED
118000,FEMALE_BREAST_COVERED
118000,clown
118500,FEMALE_BREAST_COVERED
119000,blood
119500,blood
119500,blood
120000,blood
120000,blood
120000,clown
120500,blood
120500,clown
122000,blood
122000,blood
124500,blood
125000,ARMPITS_EXPOSED
125000,blood
125500,ARMPITS_EXPOSED
125500,blood
126500,ARMPITS_EXPOSED
128500,blood
129000,blood
129500,blood
129500,clown
132500,clown
136000,clown
138500,clown
139500,blood
140500,item
141500,item
143500,blood
143500,blood
143500,item
144000,blood
144000,blood
144000,item
144500,blood
144500,blood
144500,item
145000,blood
145000,blood
145000,item
145500,blood
145500,blood
145500,item
146000,blood
146000,blood
146000,item
146500,blood
146500,blood
146500,item
148500,blood
149500,item
154000,blood
163500,clown
165000,blood
165500,blood
166000,item
166500,item
167000,blood
167000,item
168500,blood
170000,blood
170000,item
170500,blood
170500,item
171000,blood
171000,item
171500,blood
171500,item
172000,blood
172000,item
172500,blood
172500,item
173000,blood
173000,clown
173000,item
173500,item
174000,item
175000,blood
175500,item
176000,item
176500,blood
176500,item
177000,item
178500,blood
180000,clown
181500,clown
187000,clown
189500,clown
190000,clown
190500,clown
191500,clown
192000,clown
199000,clown
199500,clown
200000,clown
201000,clown
211000,clown
212500,violence
213000,clown
213500,blood
214000,blood
216500,blood
216500,item
217000,blood
217000,item
217500,blood
217500,item
218000,blood
218000,item
218500,blood
218500,item
219000,blood
219000,item
223500,clown
224000,clown
224500,clown
225000,clown
225500,clown
226000,clown
232000,blood
233500,clown
235000,clown
236500,clown
240500,clown
241000,clown
241500,clown
242000,clown
250500,blood
250500,blood
250500,blood
250500,item
250500,item
251000,blood
251000,item
251000,item
251500,blood
251500,item
251500,item
252000,blood
252000,item
252000,item
252500,blood
252500,item
252500,item
253000,blood
253000,item
253000,item
254000,blood
256500,clown
257000,clown
257500,clown
258000,clown
258500,clown
259000,clown
260000,blood
260000,blood
262000,clown
262500,clown
268000,clown
268500,clown
269000,clown
272000,clown
283500,clown
284000,clown
284500,clown
285000,clown
295000,clown
300000,blood
302000,blood
304000,clown
308000,blood
308500,blood
309000,blood
309500,blood
310000,blood
310500,blood
311000,blood
311000,blood
311500,blood
312000,blood
312000,blood
312000,item
312500,blood
312500,item
313000,blood
313000,item
313500,blood
313500,item
314000,blood
314000,blood
314000,item
314500,blood
314500,item
315000,blood
315500,blood
316000,blood
316500,blood
317000,blood
317500,blood
318000,blood
318500,blood
319000,blood
319500,blood
320000,blood
320500,blood
321000,blood
321500,blood
322000,blood
322500,blood
327500,clown
328500,clown
329000,blood
331500,blood
339500,clown
340500,clown
365000,blood
369000,clown
371500,clown
375500,clown
376000,blood
376000,clown
377000,clown
377500,clown
379500,clown
400500,clown
401000,clown
402000,clown
403500,clown
404000,clown
412500,clown
413000,clown
414000,clown
414500,clown
415000,clown
415500,clown
416000,clown
416500,clown
417500,clown
420000,clown
421000,clown
422000,clown
422500,clown
423000,clown
433500,clown
434000,clown
434500,clown
435000,clown
435500,clown
436000,clown
436500,clown
437000,clown
438500,clown
439000,clown
440000,clown
440500,clown
441000,clown
442500,clown
450000,clown
450500,clown
451000,clown
451500,clown
457500,clown
460500,item
461000,item
461500,item
462000,blood
462000,item
462500,blood
462500,item
463000,blood
463000,blood
463000,item
463500,blood
463500,blood
463500,item
464000,blood
464000,blood
464000,item
464500,blood
464500,item
465000,blood
465000,item
465500,blood
465500,blood
465500,item
466000,blood
466000,item
466500,clown
467500,clown
468000,clown
468500,clown
469000,clown
469500,clown
470000,clown
472000,clown
473000,clown
473500,clown
474000,clown
474500,clown
475000,clown
475500,item
476000,item
476500,item
477000,blood
477000,item
477500,item
478000,blood
478000,blood
478500,blood
478500,blood
479000,blood
479000,blood
479500,blood
479500,blood
480000,blood
480000,blood
480500,blood
480500,blood
481000,blood
481000,blood
481500,blood
481500,blood
482000,blood
482000,blood
482500,blood
482500,blood
483000,blood
483000,blood
483500,blood
483500,blood
484000,blood
484000,blood
484500,blood
484500,blood
485000,blood
485000,blood
485500,blood
485500,blood
486000,blood
486000,blood
490000,blood
509500,blood
510500,blood
511000,blood
511000,blood
511500,blood
512000,blood
512500,blood
512500,blood
513000,blood
